20150612;9.69;11.04;9.69;11.04;11101;122441.69
20150615;12.14;12.14;12.14;12.14;8100;98334.00
20150616;13.35;13.35;13.35;13.35;4000;53400.00
20150617;14.69;14.69;14.69;14.69;6172;90666.68
20150618;16.16;16.16;16.16;16.16;8600;138976.00
20150619;17.78;17.78;17.78;17.78;113754;2022546.13
20150623;19.56;19.56;19.56;19.56;18000;352080.00
20150624;21.52;21.52;21.52;21.52;11188;240765.77
20150625;23.67;23.67;23.67;23.67;23500;556245.00
20150626;26.04;26.04;26.04;26.04;987630;25717886.00
20150629;28.64;28.64;23.44;23.52;23820076;582136448.00
20150630;21.19;24.80;21.17;23.81;18627256;419531456.00
20150701;23.01;26.19;22.22;24.83;19621051;487155840.00
20150702;22.35;26.10;22.35;22.40;17449248;410193984.00
20150703;20.16;22.79;20.16;20.16;10689927;221369936.00
20150706;22.18;22.18;18.20;18.70;13746994;284278016.00
20150707;17.51;17.85;16.83;16.83;4219610;71928832.00
20150708;15.15;15.15;15.15;15.15;783600;11871540.00
20150709;13.65;16.67;13.65;16.67;12196293;193673168.00
20150710;18.33;18.34;17.81;18.34;3706352;67740928.00
20150713;20.17;20.17;20.17;20.17;838734;16917264.00
20150714;22.19;22.19;22.19;22.19;962610;21360316.00
20150715;23.00;23.90;19.97;19.97;18022625;381548736.00
20150716;18.74;21.11;17.98;20.17;11542084;229289056.00
20150717;20.49;22.04;20.17;21.73;9169023;195170560.00
20150720;21.37;22.00;20.16;20.90;10802872;229441776.00
20150721;20.30;22.88;19.97;22.52;10967665;235277744.00
20150722;22.00;22.51;21.23;22.00;9463469;207776128.00
20150723;22.21;24.20;21.79;24.20;9314009;214844544.00
20150724;25.75;26.62;24.80;26.62;22529820;590933056.00
20150727;26.00;28.50;24.51;24.54;19825136;535039552.00
20150728;22.28;26.00;22.09;22.99;15347081;359687200.00
20150729;24.10;25.29;23.01;25.29;12330824;296315872.00
20150730;26.40;27.82;26.05;26.97;18736719;516511264.00
20150731;26.98;29.67;26.21;29.67;22271776;639423744.00
20150803;29.90;32.64;29.60;32.64;20998247;669086464.00
20150804;34.55;35.90;29.38;30.25;28647526;906436096.00
20150805;28.56;33.28;28.51;33.28;23418419;749622016.00
20150806;33.00;36.61;30.21;35.90;29231539;981321472.00
20150807;33.99;37.82;33.18;34.80;21674704;767942272.00
20150810;34.80;35.70;33.80;34.98;18507636;646028672.00
20150811;34.98;38.48;34.20;38.48;18791648;693956672.00
20150812;40.50;42.33;37.10;40.21;28939609;1149651712.00
20150813;37.30;39.36;37.10;38.11;19184692;730440192.00
20150814;37.68;39.86;36.19;37.51;17485530;658990528.00
20150817;36.51;37.00;33.76;33.91;14517661;507538080.00
20150818;33.75;35.99;32.00;33.06;11919443;409890848.00
20150819;32.66;34.15;30.08;33.04;10423679;337418400.00
20150820;32.30;32.64;29.98;30.00;6736081;211847776.00
20150821;28.90;29.80;27.00;27.02;6821150;194082768.00
20150824;25.00;25.90;24.32;24.32;3201524;78600272.00
20150825;22.01;26.70;21.89;22.86;12041038;286162016.00
20150826;23.95;25.15;22.88;25.15;15170356;376579936.00
20150827;26.61;27.67;24.68;27.50;18752000;494775680.00
20150828;26.63;29.56;26.19;28.32;15904382;439470464.00
20150831;27.78;28.27;25.49;25.49;9576659;256917168.00
20150901;24.65;25.60;22.94;22.94;8524954;203459392.00
20150902;21.20;23.99;20.70;20.88;8741017;195828320.00
20150907;21.40;22.70;20.26;21.05;8068363;173326512.00
20150908;21.20;23.16;20.50;23.16;8926478;202419264.00
20150909;25.00;25.48;24.50;25.48;16713259;422806624.00
20150910;24.21;26.50;23.90;24.51;14872644;373479392.00
20150911;24.13;26.00;24.10;25.52;11801801;297565600.00
20150914;25.20;26.38;22.97;22.97;12392274;304833152.00
20150915;21.88;23.50;21.14;21.73;8477187;187679696.00
20150916;22.30;23.90;22.29;23.90;9019187;214325552.00
20150917;24.90;25.58;23.99;24.00;15665640;389014464.00
20150918;24.00;24.98;23.51;24.92;10421987;252883248.00
20150921;24.41;26.97;24.23;26.83;13243725;338185216.00
20150922;26.24;26.90;25.55;26.13;13209087;347542848.00
20150923;25.60;27.50;25.30;26.17;11609274;308031584.00
20150924;26.41;26.78;25.59;25.86;8534777;222812128.00
